,non_gesture,swipe_down,virtual_slider_right,pinch_out_vertical,swipe_up,palm_release,virtual_knob_clockwise,pinch_out_horizontal,swipe_right,palm_grab,virtual_slider_left,virtual_knob_anticlockwise,virtual_tap,swipe_left
non_gesture,0,0,0,0,0,0,0,0,0,0,0,0,0,0
swipe_down,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virtual_slider_right,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pinch_out_vertical,0,0,0,0,0,0,0,0,0,0,0,0,0,0
swipe_up,0,0,0,0,0,0,0,0,0,0,0,0,0,0
palm_release,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virtual_knob_clockwise,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pinch_out_horizontal,0,0,0,0,0,0,0,0,0,0,0,0,0,0
swipe_right,0,0,0,0,0,0,0,0,0,0,0,0,0,0
palm_grab,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virtual_slider_left,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virtual_knob_anticlockwise,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virtual_tap,0,0,0,0,0,0,0,0,0,0,0,0,0,0
swipe_left,0,0,0,0,0,0,0,0,0,0,0,0,0,0
